perc_patients_csts, sa3_name, sa3_code, tot_oop_cst_patient_90th_percile, tot_oop_cst_patient_50th_percile, all_patients_avg_medicare_bfts_expenditure_patient, tot_oop_cst_patient_75th_percile, all_patients_avg_oop_cst_patient, all_patients_avg_no_patient, tot_oop_cst_patient_25th_percile, remoteness_socioeconomic_status
62.1,"Mackay","31202",497,126,778,266,140,14.4,58,"Inner regional"
50.9,"Whitsunday","31203",386,94,694,203,89,13.4,36,"Outer regional"
40.2,"Bribie - Beachmere","31301",493,118,1199,260,87,22.6,52,"Inner regional"
30.3,"Caboolture","31302",472,110,934,244,64,17.5,49,"Major cities - lower SES"
34.6,"Caboolture Hinterland","31303",457,116,839,242,73,16.0,58,"Inner regional"
40.6,"Narangba - Burpengary","31304",458,105,874,237,83,16.5,46,"Major cities - medium SES"
44.6,"Redcliffe","31305",553,132,1027,298,109,18.9,58,"Major cities - lower SES"
56.6,"The Hills District","31401",681,158,859,364,171,15.9,66,"Major cities - higher SES"
42.5,"North Lakes","31402",531,125,841,276,105,15.7,56,"Major cities - medium SES"
43.8,"Strathpine","31403",565,130,884,294,110,16.4,57,"Major cities - medium SES"
24.1,"Far North","31501",426,108,616,234,51,12.0,50,"Remote (incl. very remote)"
38.3,"Outback - North","31502",429,97,630,219,76,12.0,43,"Remote (incl. very remote)"
55.6,"Toowoomba","31701",577,130,874,300,140,16.1,56,"Inner regional"
38.0,"Maryborough","31905",457,112,1054,243,74,19.3,53,"Inner regional"
44.8,"Mid North","40503",397,90,767,202,78,15.8,42,"Outer regional"
58.5,"Yorke Peninsula","40504",461,109,919,246,122,17.8,47,"Outer regional"
68.6,"Unley","40107",669,162,851,362,213,15.6,70,"Major cities - medium SES"
53.0,"Gawler - Two Wells","40201",399,91,822,205,95,16.2,45,"Major cities - lower SES"
23.2,"Playford","40202",372,84,878,180,41,16.8,40,"Major cities - lower SES"
40.7,"Port Adelaide - East","40203",497,107,858,251,97,16.3,47,"Major cities - lower SES"
31.7,"Salisbury","40204",401,87,866,200,60,16.9,36,"Major cities - lower SES"
53.7,"Tea Tree Gully","40205",493,111,842,255,121,16.1,47,"Major cities - medium SES"
63.0,"Mitcham","40303",587,138,860,307,169,16.0,59,"Major cities - higher SES"
44.5,"Onkaparinga","40304",449,115,872,245,94,16.7,50,"Major cities - lower SES"
51.5,"Charles Sturt","40401",522,121,891,274,126,16.6,50,"Major cities - lower SES"
38.0,"Port Adelaide - West","40402",433,96,867,218,81,16.3,40,"Major cities - lower SES"
37.3,"Eyre Peninsula and South West","40601",412,105,753,220,71,15.0,50,"Remote (incl. very remote)"
38.9,"Outback - North and East","40602",355,80,719,180,62,14.3,36,"Remote (incl. very remote)"
66.3,"Fleurieu - Kangaroo Island","40701",424,103,976,225,124,18.5,45,"Inner regional"
61.5,"Limestone Coast","40702",437,109,767,237,118,15.3,48,"Outer regional"
58.3,"Murray and Mallee","40703",361,95,796,193,96,15.7,45,"Outer regional"
69.2,"Augusta - Margaret River - Busselton","50101",552,136,705,298,165,13.6,62,"Inner regional"
58.5,"Bunbury","50102",592,148,751,317,151,14.8,71,"Inner regional"
60.8,"Manjimup","50103",526,121,706,278,137,13.9,55,"Outer regional"
49.2,"Mandurah","50201",582,144,884,312,124,16.9,66,"Major cities - medium SES"
76.9,"Cottesloe - Claremont","50301",863,206,769,468,291,14.1,85,"Major cities - higher SES"
