vis_000_intl, state, lga_code18, vis_000_tot, avg_spend_per_night_aud_intl, nights_000_intl, nights_000_tot, avg_spend_commercial_accom_per_night_aud_intl, avg_spend_per_night_aud_tot, spend_audm_dom_day, avg_spend_per_night_aud_dom_ovrnt, avg_spend_commercial_accom_per_night_aud_tot, spend_audm_intl, avg_spend_per_trip_aud_tot, avg_spend_per_trip_aud_dom_ovrnt, spend_audm_dom_ovrnt, avg_spend_per_trip_aud_intl, avg_stay_nights_tot, vis_000_dom_day, avg_stay_nights_intl, avg_stay_nights_dom_ovrnt, nights_000_dom_ovrnt, vis_000_dom_ovrnt, avg_spend_commercial_accom_per_night_aud_dom_ovrnt, spend_audm_tot, avg_spend_per_trip_aud_dom_day, lga_name18
4,"Queensland","35760",null,32,179,458,35,65,null,86,72,6,null,3650,24,629,5,null,49,3,279,88,117,null,null,"North Burnett (R)"
3,"Victoria","26080",399,95,11,421,null,140,19,141,null,1,5092,2419,58,2955,3,256,4,3,409,140,225,78,13144,"Queenscliffe (B)"
2,"South Australia","46450",332,34,12,289,null,99,49,101,null,0,4271,3488,28,5133,3,232,6,3,277,98,127,78,4711,"Port Pirie City and Dists (M)"
3,"Victoria","24250",556,46,27,895,null,109,19,111,null,1,4762,3343,96,2214,3,231,10,3,869,322,156,117,12054,"Mansfield (S)"
65,"New South Wales","18450",3759,103,1762,3472,115,120,245,137,149,182,5675,3150,235,354,4,2955,27,2,1709,740,200,662,12045,"Wollongong (C)"
31,"New South Wales","12750",1279,88,130,2521,129,132,53,135,174,11,3307,2248,322,2719,3,524,4,3,2391,724,176,387,9805,"Eurobodalla (A)"
98,"New South Wales","15900",4133,76,1906,4900,94,120,316,148,170,144,4578,2847,442,681,4,2775,19,2,2994,1260,232,903,8778,"Newcastle (C)"
9,"New South Wales","10470",955,58,161,1240,95,125,64,135,160,9,4376,2627,145,956,3,565,18,3,1078,381,168,218,8867,"Bathurst Regional (A)"
13,"Northern Territory","70700",286,237,28,156,327,132,15,108,185,7,7984,4268,14,1874,2,214,2,2,128,59,139,36,14038,"Coomalie (S)"
75,"Victoria","21750",901,137,158,1227,159,146,46,148,180,22,4002,2551,158,3479,3,423,2,3,1069,403,184,225,9272,"Colac-Otway (S)"
9,"Western Australia","54620",null,64,37,119,72,98,null,113,114,2,null,3956,9,3834,3,null,4,2,83,37,153,null,null,"Kondinin (S)"
36,"Tasmania","63210",288,142,83,409,169,155,10,158,186,12,3939,2367,52,3084,3,130,2,3,326,122,191,73,13192,"Kentish (M)"
11,"South Australia","48050",1218,63,66,697,93,113,74,118,156,4,7977,2973,75,2622,3,985,6,3,631,222,161,153,13346,"Victor Harbor (C)"
11,"New South Wales","14650",1225,53,174,1065,105,100,81,109,171,9,6548,3663,97,1142,3,859,16,3,892,355,181,187,10620,"Lake Macquarie (C)"
15,"Victoria","22620",2549,62,189,1856,86,123,201,129,181,12,5951,3344,216,1300,3,1811,12,2,1667,722,187,428,9031,"Greater Bendigo (C)"
51,"Queensland","33620",1246,66,227,1633,81,98,79,104,134,15,5187,3146,146,3374,3,737,4,3,1406,458,148,240,9275,"Gympie (R)"
15,"Queensland","34530",560,52,90,722,68,138,30,151,164,5,4325,1741,95,3255,4,379,6,4,632,166,179,129,12779,"Livingstone (S)"
4,"Victoria","26260",347,41,29,387,80,128,19,135,192,1,5102,3017,48,3130,3,198,8,2,358,145,197,68,10617,"Southern Grampians (S)"
4,"Victoria","23190",522,30,51,487,55,93,48,101,150,2,5616,4260,44,2824,3,331,12,2,435,187,159,93,6953,"Horsham (RC)"
5,"New South Wales","15700",254,33,48,528,76,119,9,127,159,2,3526,2238,61,3266,4,112,9,4,480,137,163,72,11960,"Nambucca (A)"
6,"New South Wales","10600",229,37,40,480,67,99,11,104,137,2,3922,2192,46,3859,5,122,7,4,439,100,140,58,11129,"Bellingen (A)"
6,"Victoria","20830",931,32,138,567,27,75,45,89,88,4,10666,5150,38,1438,3,727,22,2,429,198,135,87,16317,"Baw Baw (S)"
11,"Queensland","35300",null,37,129,620,51,188,null,227,174,5,null,1245,112,2222,4,null,12,4,491,139,190,null,null,"Mount Isa (C)"
3,"South Australia","41140",334,92,21,263,108,151,26,156,184,2,5052,2673,38,1631,3,230,7,2,243,101,191,66,8699,"Clare and Gilbert Valleys (DC)"
13,"Western Australia","59340",null,69,142,787,67,158,null,178,156,10,null,954,115,1354,6,null,11,6,645,110,190,null,null,"Wyndham-East Kimberley (S)"
5,"Western Australia","53220",null,56,78,2244,86,98,null,99,137,4,null,1357,215,1165,8,null,15,7,2166,292,143,null,null,"East Pilbara (S)"
10,"Victoria","26810",990,64,134,1159,77,91,46,94,129,9,6547,3763,97,1199,3,616,13,3,1025,364,141,151,13386,"Wellington (S)"
29,"Western Australia","53360",null,114,154,1029,150,145,null,150,174,18,null,899,131,1633,7,null,5,7,875,118,178,null,null,"Exmouth (S)"
46,"Victoria","26490",2200,102,198,2557,115,133,107,136,187,20,4915,2792,321,2287,3,1259,4,3,2359,895,196,448,11778,"Surf Coast (S)"
11,"Victoria","22410",357,90,38,422,123,127,23,131,144,3,4673,2927,50,3320,3,199,3,3,384,147,145,76,8719,"Glenelg (S)"
3,"South Australia","47630",149,35,28,201,null,86,6,95,null,1,6454,4610,16,2603,3,72,11,2,173,75,128,23,12273,"Tatiara (DC)"
112,"Northern Territory","70200",462,103,557,1833,116,186,14,222,176,58,1298,1012,284,1953,5,62,5,4,1277,287,213,356,4320,"Alice Springs (T)"
2,"Western Australia","56230",480,67,20,301,null,116,30,119,null,1,7450,3733,34,1471,2,353,10,2,281,125,128,64,11948,"Murray (S)"
4,"South Australia","48750",402,99,24,355,141,121,17,122,148,2,6746,2918,40,1494,3,280,7,3,331,118,149,60,16745,"Yankalilla (DC)"
